protein_id,bmrb_id,entity_id,pdb_path,status,error
bmr141_entity1,141,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr141_entity1.pdb,skipped_existing,
bmr142_entity1,142,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr142_entity1.pdb,skipped_existing,
bmr144_entity1,144,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr144_entity1.pdb,skipped_existing,
bmr146_entity1,146,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr146_entity1.pdb,skipped_existing,
bmr162_entity1,162,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr162_entity1.pdb,skipped_existing,
bmr169_entity1,169,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr169_entity1.pdb,skipped_existing,
bmr189_entity1,189,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr189_entity1.pdb,skipped_existing,
bmr192_entity1,192,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr192_entity1.pdb,skipped_existing,
bmr193_entity1,193,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr193_entity1.pdb,skipped_existing,
bmr194_entity1,194,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr194_entity1.pdb,skipped_existing,
bmr196_entity1,196,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr196_entity1.pdb,skipped_existing,
bmr199_entity1,199,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr199_entity1.pdb,skipped_existing,
bmr200_entity1,200,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr200_entity1.pdb,skipped_existing,
bmr236_entity1,236,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr236_entity1.pdb,skipped_existing,
bmr237_entity1,237,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr237_entity1.pdb,skipped_existing,
bmr243_entity1,243,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr243_entity1.pdb,skipped_existing,
bmr245_entity1,245,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr245_entity1.pdb,skipped_existing,
bmr246_entity1,246,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr246_entity1.pdb,skipped_existing,
bmr247_entity1,247,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr247_entity1.pdb,skipped_existing,
bmr248_entity1,248,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr248_entity1.pdb,skipped_existing,
bmr249_entity1,249,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr249_entity1.pdb,skipped_existing,
bmr250_entity1,250,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr250_entity1.pdb,skipped_existing,
bmr252_entity1,252,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr252_entity1.pdb,skipped_existing,
bmr256_entity1,256,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr256_entity1.pdb,skipped_existing,
bmr257_entity1,257,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr257_entity1.pdb,skipped_existing,
bmr260_entity1,260,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr260_entity1.pdb,skipped_existing,
bmr262_entity1,262,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr262_entity1.pdb,skipped_existing,
bmr263_entity1,263,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr263_entity1.pdb,skipped_existing,
bmr264_entity1,264,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr264_entity1.pdb,skipped_existing,
bmr274_entity1,274,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr274_entity1.pdb,skipped_existing,
bmr275_entity1,275,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr275_entity1.pdb,skipped_existing,
bmr280_entity1,280,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr280_entity1.pdb,skipped_existing,
bmr283_entity1,283,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr283_entity1.pdb,skipped_existing,
bmr284_entity1,284,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr284_entity1.pdb,skipped_existing,
bmr287_entity1,287,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr287_entity1.pdb,skipped_existing,
bmr289_entity1,289,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr289_entity1.pdb,skipped_existing,
bmr290_entity1,290,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr290_entity1.pdb,skipped_existing,
bmr294_entity1,294,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr294_entity1.pdb,skipped_existing,
bmr295_entity1,295,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr295_entity1.pdb,skipped_existing,
bmr298_entity1,298,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr298_entity1.pdb,skipped_existing,
bmr300_entity1,300,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr300_entity1.pdb,skipped_existing,
bmr301_entity1,301,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr301_entity1.pdb,skipped_existing,
bmr302_entity1,302,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr302_entity1.pdb,ok,
bmr306_entity1,306,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr306_entity1.pdb,skipped_existing,
bmr314_entity1,314,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr314_entity1.pdb,skipped_existing,
bmr321_entity1,321,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr321_entity1.pdb,skipped_existing,
bmr325_entity1,325,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr325_entity1.pdb,skipped_existing,
bmr326_entity1,326,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr326_entity1.pdb,skipped_existing,
bmr327_entity1,327,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr327_entity1.pdb,skipped_existing,
bmr329_entity1,329,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr329_entity1.pdb,skipped_existing,
bmr335_entity1,335,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr335_entity1.pdb,ok,
bmr338_entity1,338,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr338_entity1.pdb,ok,
bmr339_entity1,339,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr339_entity1.pdb,ok,
bmr340_entity1,340,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr340_entity1.pdb,ok,
