protein_id,bmrb_id,entity_id,pdb_path,status,error
bmr4028_entity1,4028,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4028_entity1.pdb,skipped_existing,
bmr4029_entity1,4029,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4029_entity1.pdb,skipped_existing,
bmr4030_entity1,4030,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4030_entity1.pdb,skipped_existing,
bmr4031_entity1,4031,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4031_entity1.pdb,skipped_existing,
bmr4032_entity1,4032,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4032_entity1.pdb,skipped_existing,
bmr4033_entity1,4033,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4033_entity1.pdb,skipped_existing,
bmr4034_entity1,4034,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4034_entity1.pdb,skipped_existing,
bmr4035_entity1,4035,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4035_entity1.pdb,skipped_existing,
bmr4036_entity1,4036,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4036_entity1.pdb,skipped_existing,
bmr4037_entity1,4037,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4037_entity1.pdb,skipped_existing,
bmr4038_entity1,4038,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4038_entity1.pdb,skipped_existing,
bmr4039_entity1,4039,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4039_entity1.pdb,skipped_existing,
bmr4040_entity1,4040,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4040_entity1.pdb,skipped_existing,
bmr4041_entity1,4041,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4041_entity1.pdb,skipped_existing,
bmr4042_entity1,4042,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4042_entity1.pdb,skipped_existing,
bmr4044_entity1,4044,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4044_entity1.pdb,skipped_existing,
bmr4045_entity1,4045,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4045_entity1.pdb,skipped_existing,
bmr4046_entity1,4046,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4046_entity1.pdb,skipped_existing,
bmr4047_entity1,4047,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4047_entity1.pdb,skipped_existing,
bmr4048_entity1,4048,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4048_entity1.pdb,skipped_existing,
bmr4049_entity1,4049,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4049_entity1.pdb,skipped_existing,
bmr4050_entity1,4050,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4050_entity1.pdb,skipped_existing,
bmr4052_entity1,4052,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4052_entity1.pdb,skipped_existing,
bmr4053_entity1,4053,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4053_entity1.pdb,skipped_existing,
bmr4054_entity1,4054,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4054_entity1.pdb,skipped_existing,
bmr4055_entity1,4055,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4055_entity1.pdb,skipped_existing,
bmr4056_entity1,4056,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4056_entity1.pdb,skipped_existing,
bmr4060_entity1,4060,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4060_entity1.pdb,skipped_existing,
bmr4061_entity1,4061,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4061_entity1.pdb,skipped_existing,
bmr4062_entity1,4062,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4062_entity1.pdb,skipped_existing,
bmr4063_entity1,4063,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4063_entity1.pdb,skipped_existing,
bmr4064_entity1,4064,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4064_entity1.pdb,skipped_existing,
bmr4068_entity1,4068,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4068_entity1.pdb,skipped_existing,
bmr4069_entity1,4069,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4069_entity1.pdb,skipped_existing,
bmr4070_entity1,4070,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4070_entity1.pdb,skipped_existing,
bmr4072_entity1,4072,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4072_entity1.pdb,skipped_existing,
bmr4073_entity1,4073,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4073_entity1.pdb,skipped_existing,
bmr4074_entity1,4074,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4074_entity1.pdb,skipped_existing,
bmr4075_entity1,4075,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4075_entity1.pdb,skipped_existing,
bmr4076_entity1,4076,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4076_entity1.pdb,skipped_existing,
bmr4078_entity1,4078,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4078_entity1.pdb,skipped_existing,
bmr4079_entity1,4079,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4079_entity1.pdb,skipped_existing,
bmr4081_entity1,4081,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4081_entity1.pdb,skipped_existing,
bmr4082_entity1,4082,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4082_entity1.pdb,skipped_existing,
bmr4083_entity1,4083,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4083_entity1.pdb,skipped_existing,
bmr4084_entity1,4084,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4084_entity1.pdb,skipped_existing,
bmr4085_entity1,4085,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr4085_entity1.pdb,skipped_existing,
